adjustment,trans,variable,section,date,value
brut,ind,ptot,c,2013-07-01,100.420624478838
brut,ind,ptot,c,2013-10-01,104.192448137579
brut,ind,ptot,c,2014-01-01,97.0774411837601
brut,ind,ptot,c,2014-04-01,102.015554661931
brut,ind,ptot,c,2014-07-01,99.0548847457072
brut,ind,ptot,c,2014-10-01,107.597218256555
brut,ind,ptot,c,2015-01-01,95.5568922890359
brut,ind,ptot,c,2015-04-01,99.2678186488809
brut,ind,ptot,c,2015-07-01,99.7385198078806
brut,ind,ptot,c,2015-10-01,105.436769254202
brut,ind,ptot,c,2016-01-01,97.8514706933893
brut,ind,ptot,c,2016-04-01,101.902518398339
brut,ind,ptot,c,2016-07-01,98.2310453385141
brut,ind,ptot,c,2016-10-01,104.414244195525
brut,ind,ptot,c,2017-01-01,103.561653597699
brut,ind,ptot,c,2017-04-01,104.226525508141
brut,ind,ptot,c,2017-07-01,105.325957669983
brut,ind,ptot,c,2017-10-01,114.180110245131
brut,ind,ptot,c,2018-01-01,109.138890346853
brut,ind,ptot,c,2018-04-01,114.833735540037
brut,ind,ptot,c,2018-07-01,107.699819787994
brut,ind,ptot,c,2018-10-01,121.534719916448
brut,ind,ptot,c,2019-01-01,114.65235781087
brut,ind,ptot,c,2019-04-01,119.572474295413
brut,ind,ptot,c,2019-07-01,116.458144310248
brut,ind,ptot,c,2019-10-01,122.081718558162
brut,ind,ptot,c,2020-01-01,116.207430937039
brut,ind,ptot,c,2020-04-01,108.322005165024
brut,ind,ptot,c,2020-07-01,112.652949046955
brut,ind,ptot,c,2020-10-01,120.018814009422
brut,ind,ptot,c,2021-01-01,121.685337106965
brut,ind,ptot,c,2021-04-01,127.395945364034
brut,ind,ptot,c,2021-07-01,123.5389372806
brut,ind,ptot,c,2021-10-01,132.334519749769
brut,ind,ptot,c,2022-01-01,134.330283596729
brut,ind,ptot,c,2022-04-01,135.462863511446
brut,ind,ptot,c,2022-07-01,131.350707898808
brut,ind,ptot,c,2022-10-01,140.461986734495
brut,ind,ptot,c,2023-01-01,141.267428774886
brut,ind,ptot,c,2023-04-01,133.813139879503
brut,ind,ptot,c,2023-07-01,131.742590047067
brut,ind,ptot,c,2023-10-01,136.826589817156
brut,ind,ptot,c,2024-01-01,132.982623358237
brut,ind,ptot,ca,1999-01-01,
brut,ind,ptot,ca,1999-04-01,
brut,ind,ptot,ca,1999-07-01,
brut,ind,ptot,ca,1999-10-01,
brut,ind,ptot,ca,2000-01-01,
brut,ind,ptot,ca,2000-04-01,
brut,ind,ptot,ca,2000-07-01,
brut,ind,ptot,ca,2000-10-01,
brut,ind,ptot,ca,2001-01-01,
brut,ind,ptot,ca,2001-04-01,
brut,ind,ptot,ca,2001-07-01,
brut,ind,ptot,ca,2001-10-01,
brut,ind,ptot,ca,2002-01-01,
brut,ind,ptot,ca,2002-04-01,
brut,ind,ptot,ca,2002-07-01,
brut,ind,ptot,ca,2002-10-01,
brut,ind,ptot,ca,2003-01-01,
brut,ind,ptot,ca,2003-04-01,
brut,ind,ptot,ca,2003-07-01,
